state,period_id,transaction_count_difference,transaction_amount_difference,registered_users_difference,registered_merchants_difference
jammu & kashmir,8073,0,1.430511474609375e-06,0,0
jammu & kashmir,8074,0,-7.867813110351562e-06,0,0
jammu & kashmir,8075,0,-3.910064697265625e-05,0,0
jammu & kashmir,8076,0,-3.24249267578125e-05,0,0
jammu & kashmir,8077,0,7.62939453125e-06,0,0
jammu & kashmir,8078,0,7.152557373046875e-06,0,0
jammu & kashmir,8079,0,3.0994415283203125e-06,0,0
jammu & kashmir,8080,0,-7.152557373046875e-06,0,0
jammu & kashmir,8081,0,-4.863739013671875e-05,0,0
jammu & kashmir,8082,0,9.1552734375e-05,0,0
jammu & kashmir,8083,0,0.000148773193359375,0,0
jammu & kashmir,8084,0,-2.288818359375e-05,0,0
jammu & kashmir,8085,0,0.000209808349609375,0,0
jammu & kashmir,8086,0,9.1552734375e-05,0,0
jammu & kashmir,8087,0,6.866455078125e-05,0,0
jammu & kashmir,8088,0,-9.918212890625e-05,0,0
jammu & kashmir,8089,0,-6.866455078125e-05,0,0
jammu & kashmir,8090,0,-0.00022125244140625,0,0
jammu & kashmir,8091,0,0.00070953369140625,0,0
jammu & kashmir,8092,0,0.0002593994140625,0,0
jammu & kashmir,8093,0,0.00030517578125,0,0
jammu & kashmir,8094,0,-1.52587890625e-05,0,0
jammu & kashmir,8095,0,-9.1552734375e-05,0,0
jammu & kashmir,8096,0,0.00030517578125,0,0
jammu & kashmir,8097,0,0.0001373291015625,0,0
jammu & kashmir,8098,0,-0.000518798828125,0,0
jammu & kashmir,8099,0,-0.0003662109375,0,0
jammu & kashmir,8100,0,0.000213623046875,0,0
jammu & kashmir,8101,0,-0.001068115234375,0,0
jammu & kashmir,8102,0,0.0,0,0
jammu & kashmir,8103,0,-0.000732421875,0,0
jammu & kashmir,8104,0,0.0001220703125,0,0
jammu & kashmir,8105,0,0.000518798828125,0,0
jharkhand,8072,0,8.535385131835938e-05,0,
jharkhand,8073,0,4.482269287109375e-05,0,
jharkhand,8074,0,-0.0002460479736328125,0,0
jharkhand,8075,0,-0.000186920166015625,0,0
jharkhand,8076,0,-0.0004291534423828125,0,0
jharkhand,8077,0,-3.0517578125e-05,0,0
jharkhand,8078,0,-0.000415802001953125,0,0
jharkhand,8079,0,0.000728607177734375,0,0
jharkhand,8080,0,0.0008087158203125,0,0
jharkhand,8081,0,0.00136566162109375,0,0
jharkhand,8082,0,-0.001739501953125,0,0
jharkhand,8083,0,0.0005035400390625,0,0
jharkhand,8084,0,-0.0001220703125,0,0
jharkhand,8085,0,-0.0006866455078125,0,0
jharkhand,8086,0,-0.003814697265625,0,0
jharkhand,8087,0,-0.00396728515625,0,0
jharkhand,8088,0,0.00164794921875,0,0
jharkhand,8089,0,0.00030517578125,0,0
jharkhand,8090,0,-0.010223388671875,0,0
jharkhand,8091,0,-0.01519775390625,0,0
jharkhand,8092,0,0.000732421875,0,0
jharkhand,8093,0,0.00042724609375,0,0
jharkhand,8094,0,-0.001953125,0,0
jharkhand,8095,0,-0.00250244140625,0,0
jharkhand,8096,0,-0.01025390625,0,0
jharkhand,8097,0,0.01611328125,0,0
jharkhand,8098,0,0.0159912109375,0,0
jharkhand,8099,0,0.01025390625,0,0
jharkhand,8100,0,-0.0059814453125,0,0
jharkhand,8101,0,0.0052490234375,0,0
jharkhand,8102,0,-0.01318359375,0,0
jharkhand,8103,0,0.00048828125,0,0
jharkhand,8104,0,-0.001220703125,0,0
jharkhand,8105,0,0.0030517578125,0,0
karnataka,8072,0,-0.00029754638671875,0,0
karnataka,8073,0,-0.00201416015625,0,0
karnataka,8074,0,-0.002960205078125,0,0
karnataka,8075,0,0.0085906982421875,0,0
karnataka,8076,0,0.0013275146484375,0,0
karnataka,8077,0,0.00946044921875,0,0
karnataka,8078,0,-0.007476806640625,0,0
karnataka,8079,0,0.01739501953125,0,0
karnataka,8080,0,-0.02142333984375,0,0
karnataka,8081,0,-0.0096435546875,0,0
karnataka,8082,0,0.03546142578125,0,0
karnataka,8083,0,-0.0218505859375,0,0
karnataka,8084,0,0.0052490234375,0,0
karnataka,8085,0,0.004150390625,0,0
karnataka,8086,0,-0.010009765625,0,0
karnataka,8087,0,0.01416015625,0,0
karnataka,8088,0,-0.0380859375,0,0
karnataka,8089,0,0.00390625,0,0
karnataka,8090,0,0.07275390625,0,0
