state,year,quarter,period_id,transaction_count,transaction_amount
haryana,2021,2,8085,124382433,232312577411.7166
haryana,2021,3,8086,165765789,279337569622.5245
haryana,2021,4,8087,172725358,309594718962.4182
haryana,2022,1,8088,220541832,382682595071.275
haryana,2022,2,8089,271267385,444207427107.7095
haryana,2022,3,8090,325918974,499123302373.1108
haryana,2022,4,8091,346421564,550189071738.4247
haryana,2023,1,8092,382428292,593038018688.3391
haryana,2023,2,8093,458437725,663139120171.8699
haryana,2023,3,8094,502016327,679488272348.9021
haryana,2023,4,8095,555795275,786452421039.6418
haryana,2024,1,8096,606097991,811854562422.356
haryana,2024,2,8097,740372930,909199344753.5066
haryana,2024,3,8098,797331124,927213659244.7268
haryana,2024,4,8099,844101306,1035939449839.3926
haryana,2025,1,8100,857633744,1042384562755.8115
haryana,2025,2,8101,941499109,1093601683082.2201
haryana,2025,3,8102,1011816347,1098443930838.6355
haryana,2025,4,8103,1025189236,1197344182785.4304
haryana,2026,1,8104,1030869286,1183521834050.4062
haryana,2026,2,8105,1130714938,1263508678455.987
himachal pradesh,2018,1,8072,532148,653574896.6591835
himachal pradesh,2018,2,8073,752625,1221455463.8391795
himachal pradesh,2018,3,8074,983069,1754538049.2417238
himachal pradesh,2018,4,8075,1486465,2782592809.741012
himachal pradesh,2019,1,8076,2315161,3423445243.3702383
himachal pradesh,2019,2,8077,2594858,4771816578.540387
himachal pradesh,2019,3,8078,2800215,5428453807.341392
himachal pradesh,2019,4,8079,3593015,6985396691.332533
himachal pradesh,2020,1,8080,4235511,7195985019.600036
himachal pradesh,2020,2,8081,4848448,7841832501.0697975
himachal pradesh,2020,3,8082,5877958,10905705832.23328
himachal pradesh,2020,4,8083,7648490,14312857828.542429
himachal pradesh,2021,1,8084,8416756,15284058641.692795
himachal pradesh,2021,2,8085,10673405,18003833831.481735
himachal pradesh,2021,3,8086,12997641,22459107257.73033
himachal pradesh,2021,4,8087,13750261,23742042055.622837
himachal pradesh,2022,1,8088,16563694,26739954514.571903
himachal pradesh,2022,2,8089,22234130,33881003865.982437
himachal pradesh,2022,3,8090,24383236,35641730907.87379
himachal pradesh,2022,4,8091,27607097,38681552816.71495
himachal pradesh,2023,1,8092,28591197,38288728154.99783
himachal pradesh,2023,2,8093,36965811,47592612549.69776
himachal pradesh,2023,3,8094,34725152,42559427469.09868
himachal pradesh,2023,4,8095,40615274,49155662459.05554
himachal pradesh,2024,1,8096,40811785,48667221254.53458
himachal pradesh,2024,2,8097,54506909,60644407062.34276
himachal pradesh,2024,3,8098,50250250,56752036636.12981
himachal pradesh,2024,4,8099,54095801,63783710820.24858
himachal pradesh,2025,1,8100,57676428,63527597457.03926
himachal pradesh,2025,2,8101,63902910,68743474561.78065
himachal pradesh,2025,3,8102,60321591,63475574844.56685
himachal pradesh,2025,4,8103,62902497,71816498201.72183
himachal pradesh,2026,1,8104,62733321,69091806359.40977
himachal pradesh,2026,2,8105,74853009,82068147069.82556
jammu & kashmir,2018,1,8072,656163,592623090.2033798
jammu & kashmir,2018,2,8073,1086777,1213266618.9379668
jammu & kashmir,2018,3,8074,1277209,2141341083.7828207
jammu & kashmir,2018,4,8075,1268516,3101815416.7378845
jammu & kashmir,2019,1,8076,1828165,3498272585.7855463
jammu & kashmir,2019,2,8077,2119162,5403213176.7618475
jammu & kashmir,2019,3,8078,947784,3026506976.758377
jammu & kashmir,2019,4,8079,272081,1153430776.5641694
jammu & kashmir,2020,1,8080,852425,2717731573.0984516
jammu & kashmir,2020,2,8081,2478234,7385817104.091432
jammu & kashmir,2020,3,8082,3263787,10448451928.001057
jammu & kashmir,2020,4,8083,5697218,13861828201.924194
jammu & kashmir,2021,1,8084,6819001,14689457308.71754
jammu & kashmir,2021,2,8085,9759120,19030309332.015205
jammu & kashmir,2021,3,8086,12146768,25141751151.745125
jammu & kashmir,2021,4,8087,13451800,27038608302.84806
jammu & kashmir,2022,1,8088,16932419,31916535500.418865
jammu & kashmir,2022,2,8089,24566238,43852978538.412926
jammu & kashmir,2022,3,8090,30956037,52238599727.460464
jammu & kashmir,2022,4,8091,37429141,54950573837.60637
jammu & kashmir,2023,1,8092,42238384,56989379844.37264
jammu & kashmir,2023,2,8093,59065448,77930824657.73734
jammu & kashmir,2023,3,8094,67501820,87600579308.04288
jammu & kashmir,2023,4,8095,73674593,94888368455.39261
jammu & kashmir,2024,1,8096,77789259,94972171992.32114
jammu & kashmir,2024,2,8097,112089466,130230163165.34396
jammu & kashmir,2024,3,8098,121217339,144846888446.57068
jammu & kashmir,2024,4,8099,127341972,160964790491.79785
jammu & kashmir,2025,1,8100,132457102,150194823534.5383
jammu & kashmir,2025,2,8101,155749073,166352644525.11493
jammu & kashmir,2025,3,8102,163198940,177365135331.55194
jammu & kashmir,2025,4,8103,161467965,188185882406.2973
jammu & kashmir,2026,1,8104,154466958,172634617938.55566
jammu & kashmir,2026,2,8105,187742125,203028380125.5166
jharkhand,2018,1,8072,2678000,2859566816.5828524
jharkhand,2018,2,8073,3756004,5562125948.332726
jharkhand,2018,3,8074,9200318,9973432389.379925
jharkhand,2018,4,8075,7195365,11735730521.996979
jharkhand,2019,1,8076,10723720,15422660565.0615
jharkhand,2019,2,8077,11813006,21079454312.56851
jharkhand,2019,3,8078,15944483,23997376549.448486
jharkhand,2019,4,8079,20545968,31768782167.634148
jharkhand,2020,1,8080,20690673,38005984652.31631
jharkhand,2020,2,8081,22126359,41175811278.05409
jharkhand,2020,3,8082,31367125,59164756770.200226
jharkhand,2020,4,8083,43790272,80715425964.23326
jharkhand,2021,1,8084,52349920,96054296641.15721
jharkhand,2021,2,8085,65088355,122250011704.13626
jharkhand,2021,3,8086,85440030,143139149140.78366
jharkhand,2021,4,8087,100429690,168572076881.3144
jharkhand,2022,1,8088,130487443,222356236530.36456
jharkhand,2022,2,8089,158327616,259653640097.40186
jharkhand,2022,3,8090,184873084,273793546041.3701
jharkhand,2022,4,8091,213455622,317476716109.8493
jharkhand,2023,1,8092,242977596,367883618513.0067
jharkhand,2023,2,8093,292499192,422886248541.147
jharkhand,2023,3,8094,321102668,419546015678.4694
jharkhand,2023,4,8095,379383888,501952800000.8065
jharkhand,2024,1,8096,429954770,561811929005.2913
jharkhand,2024,2,8097,502445409,621011595298.2496
jharkhand,2024,3,8098,522434285,608392838021.0088
jharkhand,2024,4,8099,586522767,702617568253.4089
jharkhand,2025,1,8100,599394968,738251651951.271
jharkhand,2025,2,8101,665832499,788657303063.193
jharkhand,2025,3,8102,695043900,751683222013.4165
jharkhand,2025,4,8103,739371210,826388939131.4963
jharkhand,2026,1,8104,764591317,875924845949.5278
jharkhand,2026,2,8105,815309961,908972692433.1243
karnataka,2018,1,8072,11259403,17637623160.251854
karnataka,2018,2,8073,16008698,30747418632.821686
