state,year,quarter,period_id,registered_users
jammu & kashmir,2022,1,8088,2232542
jammu & kashmir,2022,2,8089,2422700
jammu & kashmir,2022,3,8090,2603073
jammu & kashmir,2022,4,8091,2801460
jammu & kashmir,2023,1,8092,2995581
jammu & kashmir,2023,2,8093,3178196
jammu & kashmir,2023,3,8094,3356452
jammu & kashmir,2023,4,8095,3588585
jammu & kashmir,2024,1,8096,3840608
jammu & kashmir,2024,2,8097,4103216
jammu & kashmir,2024,3,8098,4334950
jammu & kashmir,2024,4,8099,4516651
jammu & kashmir,2025,1,8100,4699442
jammu & kashmir,2025,2,8101,4865971
jammu & kashmir,2025,3,8102,5026228
jammu & kashmir,2025,4,8103,5205677
jammu & kashmir,2026,1,8104,5380456
jammu & kashmir,2026,2,8105,5645686
jharkhand,2018,1,8072,880343
jharkhand,2018,2,8073,1238359
jharkhand,2018,3,8074,1545612
jharkhand,2018,4,8075,1954512
jharkhand,2019,1,8076,2344245
jharkhand,2019,2,8077,2680159
jharkhand,2019,3,8078,3022018
jharkhand,2019,4,8079,3396614
jharkhand,2020,1,8080,3782690
jharkhand,2020,2,8081,4198053
jharkhand,2020,3,8082,4625467
jharkhand,2020,4,8083,5079848
jharkhand,2021,1,8084,5505298
jharkhand,2021,2,8085,5909431
jharkhand,2021,3,8086,6377290
jharkhand,2021,4,8087,6872363
jharkhand,2022,1,8088,7352042
jharkhand,2022,2,8089,7783514
jharkhand,2022,3,8090,8271861
jharkhand,2022,4,8091,8761666
jharkhand,2023,1,8092,9222109
jharkhand,2023,2,8093,9650559
jharkhand,2023,3,8094,10115548
jharkhand,2023,4,8095,10617881
jharkhand,2024,1,8096,11202660
jharkhand,2024,2,8097,11765547
jharkhand,2024,3,8098,12330147
jharkhand,2024,4,8099,12847879
jharkhand,2025,1,8100,13390825
jharkhand,2025,2,8101,13882870
jharkhand,2025,3,8102,14421897
jharkhand,2025,4,8103,14935840
jharkhand,2026,1,8104,15393721
jharkhand,2026,2,8105,15790280
karnataka,2018,1,8072,3901200
karnataka,2018,2,8073,5226252
karnataka,2018,3,8074,6536115
karnataka,2018,4,8075,8476930
karnataka,2019,1,8076,10393952
karnataka,2019,2,8077,12052561
karnataka,2019,3,8078,13733198
karnataka,2019,4,8079,15440057
karnataka,2020,1,8080,17044952
karnataka,2020,2,8081,18659833
karnataka,2020,3,8082,20469767
karnataka,2020,4,8083,22376108
karnataka,2021,1,8084,24058436
karnataka,2021,2,8085,25647896
karnataka,2021,3,8086,27447523
karnataka,2021,4,8087,29180661
karnataka,2022,1,8088,30809500
karnataka,2022,2,8089,32374488
karnataka,2022,3,8090,33953647
karnataka,2022,4,8091,35452134
karnataka,2023,1,8092,36773789
karnataka,2023,2,8093,38043386
karnataka,2023,3,8094,39411658
karnataka,2023,4,8095,40600790
karnataka,2024,1,8096,41888288
karnataka,2024,2,8097,43157465
karnataka,2024,3,8098,44350489
karnataka,2024,4,8099,45668243
karnataka,2025,1,8100,46870457
karnataka,2025,2,8101,48100388
karnataka,2025,3,8102,49293465
karnataka,2025,4,8103,50339561
karnataka,2026,1,8104,51308731
karnataka,2026,2,8105,52534800
kerala,2018,1,8072,776998
kerala,2018,2,8073,1053063
kerala,2018,3,8074,1311720
kerala,2018,4,8075,1712592
kerala,2019,1,8076,2073323
kerala,2019,2,8077,2457611
kerala,2019,3,8078,2881087
kerala,2019,4,8079,3357041
kerala,2020,1,8080,3898086
kerala,2020,2,8081,4520490
kerala,2020,3,8082,5337146
kerala,2020,4,8083,6108425
kerala,2021,1,8084,6650208
kerala,2021,2,8085,7167573
kerala,2021,3,8086,7726125
kerala,2021,4,8087,8323308
kerala,2022,1,8088,8855141
kerala,2022,2,8089,9344928
kerala,2022,3,8090,9864268
kerala,2022,4,8091,10342101
kerala,2023,1,8092,10759741
kerala,2023,2,8093,11135396
kerala,2023,3,8094,11534779
kerala,2023,4,8095,11984795
kerala,2024,1,8096,12400955
kerala,2024,2,8097,12860951
kerala,2024,3,8098,13360448
kerala,2024,4,8099,13798127
kerala,2025,1,8100,14209056
kerala,2025,2,8101,14603026
kerala,2025,3,8102,15022652
kerala,2025,4,8103,15459282
kerala,2026,1,8104,15839220
kerala,2026,2,8105,16304760
ladakh,2018,1,8072,14795
ladakh,2018,2,8073,21011
ladakh,2018,3,8074,27274
ladakh,2018,4,8075,35989
ladakh,2019,1,8076,44058
ladakh,2019,2,8077,51485
ladakh,2019,3,8078,56993
ladakh,2019,4,8079,62146
ladakh,2020,1,8080,68423
ladakh,2020,2,8081,74807
ladakh,2020,3,8082,81517
ladakh,2020,4,8083,89518
ladakh,2021,1,8084,96146
ladakh,2021,2,8085,102914
ladakh,2021,3,8086,109859
ladakh,2021,4,8087,117697
ladakh,2022,1,8088,125119
ladakh,2022,2,8089,131845
ladakh,2022,3,8090,138524
ladakh,2022,4,8091,146028
ladakh,2023,1,8092,152636
ladakh,2023,2,8093,158956
ladakh,2023,3,8094,164962
ladakh,2023,4,8095,173131
ladakh,2024,1,8096,180765
ladakh,2024,2,8097,190668
ladakh,2024,3,8098,199266
ladakh,2024,4,8099,206450
ladakh,2025,1,8100,213189
ladakh,2025,2,8101,219995
ladakh,2025,3,8102,225152
ladakh,2025,4,8103,231656
ladakh,2026,1,8104,237706
ladakh,2026,2,8105,250921
lakshadweep,2018,1,8072,862
lakshadweep,2018,2,8073,1172
lakshadweep,2018,3,8074,1491
lakshadweep,2018,4,8075,1903
lakshadweep,2019,1,8076,2320
lakshadweep,2019,2,8077,2763
lakshadweep,2019,3,8078,3275
lakshadweep,2019,4,8079,3708
lakshadweep,2020,1,8080,4140
lakshadweep,2020,2,8081,4578
lakshadweep,2020,3,8082,5137
lakshadweep,2020,4,8083,5775
lakshadweep,2021,1,8084,6336
lakshadweep,2021,2,8085,6816
lakshadweep,2021,3,8086,7374
lakshadweep,2021,4,8087,7965
lakshadweep,2022,1,8088,8435
lakshadweep,2022,2,8089,8885
lakshadweep,2022,3,8090,9374
lakshadweep,2022,4,8091,9808
lakshadweep,2023,1,8092,10183
lakshadweep,2023,2,8093,10584
lakshadweep,2023,3,8094,11059
lakshadweep,2023,4,8095,11676
lakshadweep,2024,1,8096,12330
lakshadweep,2024,2,8097,13251
lakshadweep,2024,3,8098,14065
lakshadweep,2024,4,8099,14725
lakshadweep,2025,1,8100,15368
lakshadweep,2025,2,8101,15987
lakshadweep,2025,3,8102,16553
lakshadweep,2025,4,8103,17251
lakshadweep,2026,1,8104,17882
lakshadweep,2026,2,8105,18419
madhya pradesh,2018,1,8072,2501837
madhya pradesh,2018,2,8073,3390239
madhya pradesh,2018,3,8074,4233736
madhya pradesh,2018,4,8075,5311159
madhya pradesh,2019,1,8076,6383958
madhya pradesh,2019,2,8077,7278165
madhya pradesh,2019,3,8078,8231531
madhya pradesh,2019,4,8079,9219787
madhya pradesh,2020,1,8080,10260896
madhya pradesh,2020,2,8081,11514232
madhya pradesh,2020,3,8082,12744642
madhya pradesh,2020,4,8083,13925932
madhya pradesh,2021,1,8084,15131202
madhya pradesh,2021,2,8085,16251687
madhya pradesh,2021,3,8086,17570524
madhya pradesh,2021,4,8087,18846562
madhya pradesh,2022,1,8088,20115633
madhya pradesh,2022,2,8089,21283425
madhya pradesh,2022,3,8090,22575200
madhya pradesh,2022,4,8091,23793582
madhya pradesh,2023,1,8092,24981019
madhya pradesh,2023,2,8093,26193021
madhya pradesh,2023,3,8094,27512164
madhya pradesh,2023,4,8095,28703519
madhya pradesh,2024,1,8096,30087710
madhya pradesh,2024,2,8097,31399806
madhya pradesh,2024,3,8098,32634553
madhya pradesh,2024,4,8099,33718050
madhya pradesh,2025,1,8100,34868747
madhya pradesh,2025,2,8101,35961457
madhya pradesh,2025,3,8102,37166358
madhya pradesh,2025,4,8103,38249438
madhya pradesh,2026,1,8104,39250624
madhya pradesh,2026,2,8105,40093377
maharashtra,2018,1,8072,6133954
maharashtra,2018,2,8073,8236836
maharashtra,2018,3,8074,10390459
maharashtra,2018,4,8075,13355155
maharashtra,2019,1,8076,16274312
maharashtra,2019,2,8077,18737804
maharashtra,2019,3,8078,21322044
maharashtra,2019,4,8079,23734339
maharashtra,2020,1,8080,26163809
maharashtra,2020,2,8081,28790127
maharashtra,2020,3,8082,31432433
maharashtra,2020,4,8083,34404572
maharashtra,2021,1,8084,36994904
maharashtra,2021,2,8085,39429859
maharashtra,2021,3,8086,42170156
maharashtra,2021,4,8087,44928344
maharashtra,2022,1,8088,47511322
maharashtra,2022,2,8089,49858004
maharashtra,2022,3,8090,52289467
maharashtra,2022,4,8091,54629272
maharashtra,2023,1,8092,56723036
maharashtra,2023,2,8093,58661548
maharashtra,2023,3,8094,60617867
maharashtra,2023,4,8095,62581750
maharashtra,2024,1,8096,64700862
maharashtra,2024,2,8097,66770730
maharashtra,2024,3,8098,69582864
maharashtra,2024,4,8099,72020866
maharashtra,2025,1,8100,74177131
maharashtra,2025,2,8101,76247239
maharashtra,2025,3,8102,78365134
maharashtra,2025,4,8103,80321622
maharashtra,2026,1,8104,82017557
maharashtra,2026,2,8105,84075442
manipur,2018,1,8072,35579
manipur,2018,2,8073,54326
manipur,2018,3,8074,71019
manipur,2018,4,8075,93713
manipur,2019,1,8076,112463
manipur,2019,2,8077,130880
manipur,2019,3,8078,150811
manipur,2019,4,8079,170399
manipur,2020,1,8080,193166
manipur,2020,2,8081,232085
manipur,2020,3,8082,275979
manipur,2020,4,8083,306249
manipur,2021,1,8084,326912
manipur,2021,2,8085,346378
manipur,2021,3,8086,367233
manipur,2021,4,8087,388184
manipur,2022,1,8088,406492
manipur,2022,2,8089,426522
manipur,2022,3,8090,448114
manipur,2022,4,8091,467306
manipur,2023,1,8092,486209
manipur,2023,2,8093,496881
manipur,2023,3,8094,506910
manipur,2023,4,8095,528770
manipur,2024,1,8096,564185
manipur,2024,2,8097,603425
manipur,2024,3,8098,644220
manipur,2024,4,8099,668293
manipur,2025,1,8100,694042
manipur,2025,2,8101,719620
manipur,2025,3,8102,749966
manipur,2025,4,8103,783532
manipur,2026,1,8104,814173
manipur,2026,2,8105,854036
meghalaya,2018,1,8072,22306
meghalaya,2018,2,8073,31651
meghalaya,2018,3,8074,42882
meghalaya,2018,4,8075,56903
meghalaya,2019,1,8076,69850
meghalaya,2019,2,8077,83645
meghalaya,2019,3,8078,98774
meghalaya,2019,4,8079,112925
meghalaya,2020,1,8080,129019
meghalaya,2020,2,8081,152632
meghalaya,2020,3,8082,176427
meghalaya,2020,4,8083,197575
meghalaya,2021,1,8084,213559
meghalaya,2021,2,8085,230094
meghalaya,2021,3,8086,247942
meghalaya,2021,4,8087,267949
meghalaya,2022,1,8088,287587
meghalaya,2022,2,8089,307758
meghalaya,2022,3,8090,330639
