state,district,year,quarter,period_id,transaction_count,transaction_amount,registered_users,registered_merchants
andhra pradesh,annamayya,2019,1,8076,1868058,2886388756.490636,216109,3012
andhra pradesh,annamayya,2019,2,8077,2189094,4615659229.490652,247271,4534
andhra pradesh,annamayya,2019,3,8078,2610263,5537682240.048909,278968,5818
andhra pradesh,annamayya,2019,4,8079,3730941,8111366200.032558,315609,6950
andhra pradesh,annamayya,2020,1,8080,4669813,10220426913.824389,351514,7802
andhra pradesh,annamayya,2020,2,8081,6066781,13495014364.422054,389335,8528
andhra pradesh,annamayya,2020,3,8082,8352795,21005277691.32086,427822,9701
andhra pradesh,annamayya,2020,4,8083,10314374,26372704911.02259,465492,13907
andhra pradesh,annamayya,2021,1,8084,11099120,27520313099.766273,497746,17801
andhra pradesh,annamayya,2021,2,8085,14726672,36690154390.8051,529418,19545
andhra pradesh,annamayya,2021,3,8086,17768216,42994208566.313286,562380,22478
andhra pradesh,annamayya,2021,4,8087,17898489,42017907201.74632,594380,26258
andhra pradesh,annamayya,2022,1,8088,22939579,53591082468.68349,623250,29137
andhra pradesh,annamayya,2022,2,8089,26261580,61464250825.852005,652565,31360
andhra pradesh,annamayya,2022,3,8090,29578509,68567945430.472984,681909,33489
andhra pradesh,annamayya,2022,4,8091,31177607,69509669274.3055,711332,35246
andhra pradesh,annamayya,2023,1,8092,34714776,75720862874.00305,736703,35413
andhra pradesh,annamayya,2023,2,8093,39599921,86619989200.26416,762220,35537
andhra pradesh,annamayya,2023,3,8094,44189235,93316717767.72585,788479,36014
andhra pradesh,annamayya,2023,4,8095,47928555,96419753737.24553,811414,37096
andhra pradesh,annamayya,2024,1,8096,52876870,101049672213.94292,837104,38811
andhra pradesh,annamayya,2024,2,8097,58485953,109240064606.89664,865210,40020
andhra pradesh,annamayya,2024,3,8098,62753215,112729529813.75063,893601,40991
andhra pradesh,annamayya,2024,4,8099,67468399,115691099569.48538,924858,42166
andhra pradesh,annamayya,2025,1,8100,72494539,120467564203.23538,951945,43233
andhra pradesh,annamayya,2025,2,8101,75644501,124792839592.68385,980499,44251
andhra pradesh,annamayya,2025,3,8102,80455272,128295920231.34462,1011309,45148
andhra pradesh,annamayya,2025,4,8103,83839995,130610936079.34653,1039691,46820
andhra pradesh,annamayya,2026,1,8104,90781521,142055350936.40396,1063009,48188
