state,year,quarter,period_id,category_raw,transactions
bihar,2018,3,8074,Retail,6195903
bihar,2018,3,8074,Utility,347261
bihar,2018,4,8075,P2P,9133500
bihar,2018,4,8075,Retail,8778363
bihar,2018,4,8075,Utility,412736
bihar,2019,1,8076,P2P,17822554
bihar,2019,1,8076,Retail,10134940
bihar,2019,1,8076,Utility,620729
bihar,2019,2,8077,P2P,15127981
bihar,2019,2,8077,Retail,13444865
bihar,2019,2,8077,Utility,639972
bihar,2019,3,8078,P2P,14075183
bihar,2019,3,8078,Retail,14352593
bihar,2019,3,8078,Utility,1264920
bihar,2019,4,8079,P2P,23834576
bihar,2019,4,8079,Retail,13833728
bihar,2019,4,8079,Utility,3299582
bihar,2020,1,8080,Retail,16415988
bihar,2020,1,8080,Utility,5455724
bihar,2020,1,8080,P2P,22185121
bihar,2020,2,8081,P2P,26487666
bihar,2020,2,8081,Retail,18443012
bihar,2020,2,8081,Utility,9024105
bihar,2020,3,8082,P2P,37372584
bihar,2020,3,8082,Retail,26489558
bihar,2020,3,8082,Utility,8917471
bihar,2020,4,8083,P2P,49315343
bihar,2020,4,8083,Retail,37187582
bihar,2020,4,8083,Utility,11193683
bihar,2021,1,8084,P2P,57601479
bihar,2021,1,8084,Retail,33189718
bihar,2021,1,8084,Utility,20899510
bihar,2021,2,8085,P2P,78237915
bihar,2021,2,8085,Retail,42188486
bihar,2021,2,8085,Utility,32501986
bihar,2021,3,8086,P2P,92724849
bihar,2021,3,8086,Retail,60516429
bihar,2021,3,8086,Utility,31570844
bihar,2021,4,8087,P2P,102626865
bihar,2021,4,8087,Retail,80117478
bihar,2021,4,8087,Utility,28850796
bihar,2022,1,8088,Retail,110204201
bihar,2022,1,8088,Utility,31793367
bihar,2022,1,8088,P2P,137367506
bihar,2022,2,8089,P2P,161392512
bihar,2022,2,8089,Retail,149362668
bihar,2022,2,8089,Utility,40232225
bihar,2022,3,8090,P2P,180096829
bihar,2022,3,8090,Retail,172516214
bihar,2022,3,8090,Utility,45468409
bihar,2022,4,8091,P2P,211334089
bihar,2022,4,8091,Retail,219181745
bihar,2022,4,8091,Utility,48045808
bihar,2023,1,8092,P2P,245637029
bihar,2023,1,8092,Retail,256728191
bihar,2023,1,8092,Utility,54933265
bihar,2023,2,8093,P2P,293573878
bihar,2023,2,8093,Retail,339365938
bihar,2023,2,8093,Utility,65606677
bihar,2023,3,8094,P2P,311733910
bihar,2023,3,8094,Retail,364225692
bihar,2023,3,8094,Utility,68033312
bihar,2023,4,8095,P2P,394950650
bihar,2023,4,8095,Retail,471333078
bihar,2023,4,8095,Utility,73025892
bihar,2024,1,8096,P2P,455919236
bihar,2024,1,8096,Retail,544022949
bihar,2024,1,8096,Utility,86165652
bihar,2024,2,8097,P2P,529175031
bihar,2024,2,8097,Retail,693433446
bihar,2024,2,8097,Utility,99126252
bihar,2024,3,8098,P2P,547856063
bihar,2024,3,8098,Retail,710563604
bihar,2024,3,8098,Utility,96191519
bihar,2024,4,8099,P2P,641897466
bihar,2024,4,8099,Retail,820470734
bihar,2024,4,8099,Utility,97440319
bihar,2025,1,8100,Retail,800286778
bihar,2025,1,8100,Utility,101340524
bihar,2025,1,8100,P2P,629038929
bihar,2025,2,8101,P2P,703844449
bihar,2025,2,8101,Retail,980327979
bihar,2025,2,8101,Utility,109613379
bihar,2025,3,8102,P2P,695549121
bihar,2025,3,8102,Retail,1002602349
bihar,2025,3,8102,Utility,105850547
bihar,2025,4,8103,P2P,793555664
bihar,2025,4,8103,Retail,1119034346
bihar,2025,4,8103,Utility,109996353
bihar,2026,1,8104,Retail,1152850594
bihar,2026,1,8104,Utility,112264306
bihar,2026,1,8104,P2P,833487914
bihar,2026,2,8105,P2P,879874401
bihar,2026,2,8105,Retail,1295213536
bihar,2026,2,8105,Utility,113963936
chandigarh,2018,1,8072,P2P,86598
chandigarh,2018,1,8072,Retail,135274
chandigarh,2018,1,8072,Utility,2103
chandigarh,2018,2,8073,P2P,139093
chandigarh,2018,2,8073,Retail,171635
chandigarh,2018,2,8073,Utility,8832
chandigarh,2018,3,8074,P2P,205970
chandigarh,2018,3,8074,Retail,197262
chandigarh,2018,3,8074,Utility,14687
chandigarh,2018,4,8075,Retail,279421
chandigarh,2018,4,8075,Utility,19324
chandigarh,2018,4,8075,P2P,304514
chandigarh,2019,1,8076,P2P,485410
chandigarh,2019,1,8076,Retail,360000
chandigarh,2019,1,8076,Utility,31410
chandigarh,2019,2,8077,P2P,506704
chandigarh,2019,2,8077,Retail,534131
chandigarh,2019,2,8077,Utility,40446
chandigarh,2019,3,8078,P2P,607651
