state,district,year,quarter,period_id,registered_merchants
andhra pradesh,eluru,2023,3,8094,46542
andhra pradesh,eluru,2023,4,8095,48460
andhra pradesh,eluru,2024,1,8096,50611
andhra pradesh,eluru,2024,2,8097,52254
andhra pradesh,eluru,2024,3,8098,53818
andhra pradesh,eluru,2024,4,8099,55774
andhra pradesh,eluru,2025,1,8100,57537
andhra pradesh,eluru,2025,2,8101,59047
andhra pradesh,eluru,2025,3,8102,60720
andhra pradesh,eluru,2025,4,8103,63263
andhra pradesh,eluru,2026,1,8104,65450
andhra pradesh,eluru,2026,2,8105,67639
andhra pradesh,guntur,2018,1,8072,1
andhra pradesh,guntur,2018,2,8073,3
andhra pradesh,guntur,2018,3,8074,22
andhra pradesh,guntur,2018,4,8075,179
andhra pradesh,guntur,2019,1,8076,3394
andhra pradesh,guntur,2019,2,8077,9689
andhra pradesh,guntur,2019,3,8078,13764
andhra pradesh,guntur,2019,4,8079,17989
andhra pradesh,guntur,2020,1,8080,21630
andhra pradesh,guntur,2020,2,8081,23554
andhra pradesh,guntur,2020,3,8082,28737
andhra pradesh,guntur,2020,4,8083,36880
andhra pradesh,guntur,2021,1,8084,43015
andhra pradesh,guntur,2021,2,8085,45893
andhra pradesh,guntur,2021,3,8086,50836
andhra pradesh,guntur,2021,4,8087,57359
andhra pradesh,guntur,2022,1,8088,63328
andhra pradesh,guntur,2022,2,8089,67715
andhra pradesh,guntur,2022,3,8090,71121
andhra pradesh,guntur,2022,4,8091,74018
andhra pradesh,guntur,2023,1,8092,75398
andhra pradesh,guntur,2023,2,8093,77700
andhra pradesh,guntur,2023,3,8094,81198
andhra pradesh,guntur,2023,4,8095,85405
andhra pradesh,guntur,2024,1,8096,91191
andhra pradesh,guntur,2024,2,8097,95285
andhra pradesh,guntur,2024,3,8098,99892
andhra pradesh,guntur,2024,4,8099,105279
andhra pradesh,guntur,2025,1,8100,110196
andhra pradesh,guntur,2025,2,8101,114454
andhra pradesh,guntur,2025,3,8102,118362
andhra pradesh,guntur,2025,4,8103,123111
andhra pradesh,guntur,2026,1,8104,127784
andhra pradesh,guntur,2026,2,8105,132072
andhra pradesh,kakinada,2018,1,8072,2
andhra pradesh,kakinada,2018,2,8073,2
andhra pradesh,kakinada,2018,3,8074,18
andhra pradesh,kakinada,2018,4,8075,584
andhra pradesh,kakinada,2019,1,8076,6335
andhra pradesh,kakinada,2019,2,8077,9810
andhra pradesh,kakinada,2019,3,8078,13882
andhra pradesh,kakinada,2019,4,8079,16837
andhra pradesh,kakinada,2020,1,8080,19094
andhra pradesh,kakinada,2020,2,8081,20420
andhra pradesh,kakinada,2020,3,8082,23960
andhra pradesh,kakinada,2020,4,8083,31588
andhra pradesh,kakinada,2021,1,8084,36915
andhra pradesh,kakinada,2021,2,8085,39407
andhra pradesh,kakinada,2021,3,8086,42440
andhra pradesh,kakinada,2021,4,8087,46193
andhra pradesh,kakinada,2022,1,8088,49610
andhra pradesh,kakinada,2022,2,8089,51788
andhra pradesh,kakinada,2022,3,8090,53771
andhra pradesh,kakinada,2022,4,8091,55246
andhra pradesh,kakinada,2023,1,8092,56111
andhra pradesh,kakinada,2023,2,8093,57295
andhra pradesh,kakinada,2023,3,8094,59309
andhra pradesh,kakinada,2023,4,8095,62478
andhra pradesh,kakinada,2024,1,8096,67139
andhra pradesh,kakinada,2024,2,8097,70887
andhra pradesh,kakinada,2024,3,8098,73700
andhra pradesh,kakinada,2024,4,8099,76564
andhra pradesh,kakinada,2025,1,8100,79460
andhra pradesh,kakinada,2025,2,8101,82025
andhra pradesh,kakinada,2025,3,8102,84520
andhra pradesh,kakinada,2025,4,8103,88186
andhra pradesh,kakinada,2026,1,8104,90998
andhra pradesh,kakinada,2026,2,8105,94093
andhra pradesh,krishna,2018,3,8074,9
andhra pradesh,krishna,2018,4,8075,97
andhra pradesh,krishna,2019,1,8076,1580
andhra pradesh,krishna,2019,2,8077,3933
andhra pradesh,krishna,2019,3,8078,5951
andhra pradesh,krishna,2019,4,8079,8222
andhra pradesh,krishna,2020,1,8080,9442
andhra pradesh,krishna,2020,2,8081,9976
andhra pradesh,krishna,2020,3,8082,11678
andhra pradesh,krishna,2020,4,8083,15796
andhra pradesh,krishna,2021,1,8084,18228
andhra pradesh,krishna,2021,2,8085,19344
andhra pradesh,krishna,2021,3,8086,21497
andhra pradesh,krishna,2021,4,8087,24476
andhra pradesh,krishna,2022,1,8088,26565
andhra pradesh,krishna,2022,2,8089,28414
andhra pradesh,krishna,2022,3,8090,30208
andhra pradesh,krishna,2022,4,8091,31042
andhra pradesh,krishna,2023,1,8092,31310
andhra pradesh,krishna,2023,2,8093,31721
andhra pradesh,krishna,2023,3,8094,33311
andhra pradesh,krishna,2023,4,8095,35015
andhra pradesh,krishna,2024,1,8096,37211
andhra pradesh,krishna,2024,2,8097,39259
andhra pradesh,krishna,2024,3,8098,40998
andhra pradesh,krishna,2024,4,8099,42985
andhra pradesh,krishna,2025,1,8100,44700
andhra pradesh,krishna,2025,2,8101,46950
andhra pradesh,krishna,2025,3,8102,49057
andhra pradesh,krishna,2025,4,8103,52038
andhra pradesh,krishna,2026,1,8104,54565
andhra pradesh,krishna,2026,2,8105,57805
andhra pradesh,kurnool,2018,1,8072,1
andhra pradesh,kurnool,2018,2,8073,1
andhra pradesh,kurnool,2018,3,8074,20
andhra pradesh,kurnool,2018,4,8075,101
andhra pradesh,kurnool,2019,1,8076,7083
andhra pradesh,kurnool,2019,2,8077,13429
andhra pradesh,kurnool,2019,3,8078,17518
andhra pradesh,kurnool,2019,4,8079,20729
andhra pradesh,kurnool,2020,1,8080,23880
andhra pradesh,kurnool,2020,2,8081,24824
andhra pradesh,kurnool,2020,3,8082,28886
andhra pradesh,kurnool,2020,4,8083,36966
andhra pradesh,kurnool,2021,1,8084,41102
andhra pradesh,kurnool,2021,2,8085,44250
andhra pradesh,kurnool,2021,3,8086,47234
andhra pradesh,kurnool,2021,4,8087,51361
andhra pradesh,kurnool,2022,1,8088,55022
andhra pradesh,kurnool,2022,2,8089,58388
andhra pradesh,kurnool,2022,3,8090,60981
andhra pradesh,kurnool,2022,4,8091,62848
andhra pradesh,kurnool,2023,1,8092,63192
andhra pradesh,kurnool,2023,2,8093,64154
andhra pradesh,kurnool,2023,3,8094,65861
andhra pradesh,kurnool,2023,4,8095,68906
andhra pradesh,kurnool,2024,1,8096,72680
andhra pradesh,kurnool,2024,2,8097,75494
andhra pradesh,kurnool,2024,3,8098,77968
andhra pradesh,kurnool,2024,4,8099,81208
andhra pradesh,kurnool,2025,1,8100,84062
andhra pradesh,kurnool,2025,2,8101,87138
andhra pradesh,kurnool,2025,3,8102,89654
andhra pradesh,kurnool,2025,4,8103,92688
andhra pradesh,kurnool,2026,1,8104,94882
andhra pradesh,kurnool,2026,2,8105,96636
andhra pradesh,nandyal,2018,3,8074,490
andhra pradesh,nandyal,2018,4,8075,651
andhra pradesh,nandyal,2019,1,8076,4692
andhra pradesh,nandyal,2019,2,8077,6847
andhra pradesh,nandyal,2019,3,8078,8467
andhra pradesh,nandyal,2019,4,8079,11162
andhra pradesh,nandyal,2020,1,8080,13609
andhra pradesh,nandyal,2020,2,8081,14795
andhra pradesh,nandyal,2020,3,8082,18543
andhra pradesh,nandyal,2020,4,8083,24563
andhra pradesh,nandyal,2021,1,8084,27175
andhra pradesh,nandyal,2021,2,8085,30388
andhra pradesh,nandyal,2021,3,8086,32959
andhra pradesh,nandyal,2021,4,8087,36082
andhra pradesh,nandyal,2022,1,8088,38611
andhra pradesh,nandyal,2022,2,8089,41809
andhra pradesh,nandyal,2022,3,8090,43930
andhra pradesh,nandyal,2022,4,8091,44965
andhra pradesh,nandyal,2023,1,8092,45375
andhra pradesh,nandyal,2023,2,8093,45860
andhra pradesh,nandyal,2023,3,8094,46602
andhra pradesh,nandyal,2023,4,8095,48120
andhra pradesh,nandyal,2024,1,8096,50167
andhra pradesh,nandyal,2024,2,8097,52167
andhra pradesh,nandyal,2024,3,8098,53560
andhra pradesh,nandyal,2024,4,8099,55131
andhra pradesh,nandyal,2025,1,8100,56468
andhra pradesh,nandyal,2025,2,8101,57562
andhra pradesh,nandyal,2025,3,8102,58864
andhra pradesh,nandyal,2025,4,8103,60830
andhra pradesh,nandyal,2026,1,8104,62510
