state,district,min,max,count,internal_missing_periods
punjab,moga,8072,8105,34,0
punjab,pathankot,8072,8105,34,0
punjab,patiala,8072,8105,34,0
punjab,rupnagar,8072,8105,34,0
punjab,sangrur,8072,8105,34,0
punjab,sas nagar,8072,8105,34,0
punjab,shaheed bhagat singh nagar,8072,8105,34,0
punjab,sri muktsar sahib,8072,8105,34,0
punjab,tarn taran,8072,8105,34,0
rajasthan,ajmer,8072,8105,34,0
rajasthan,alwar,8072,8105,34,0
rajasthan,balotra,8072,8105,34,0
rajasthan,banswara,8072,8105,34,0
rajasthan,baran,8072,8105,34,0
rajasthan,barmer,8072,8105,34,0
rajasthan,beawar,8072,8105,34,0
rajasthan,bharatpur,8072,8105,34,0
rajasthan,bhilwara,8072,8105,34,0
rajasthan,bikaner,8072,8105,34,0
rajasthan,bundi,8072,8105,34,0
rajasthan,chittorgarh,8072,8105,34,0
rajasthan,churu,8072,8105,34,0
rajasthan,dausa,8072,8105,34,0
rajasthan,deedwana kuchaman,8072,8105,34,0
rajasthan,deeg,8072,8105,34,0
rajasthan,dholpur,8072,8105,34,0
rajasthan,dungarpur,8072,8105,34,0
rajasthan,hanumangarh,8072,8105,34,0
rajasthan,jaipur,8072,8105,34,0
rajasthan,jaisalmer,8072,8105,34,0
rajasthan,jalore,8072,8105,34,0
rajasthan,jhalawar,8072,8105,34,0
rajasthan,jhunjhunu,8072,8105,34,0
rajasthan,jodhpur,8072,8105,34,0
rajasthan,karauli,8072,8105,34,0
rajasthan,khairthal tijara,8072,8105,34,0
rajasthan,kota,8072,8105,34,0
rajasthan,kotputli behror,8072,8105,34,0
rajasthan,nagaur,8072,8105,34,0
rajasthan,pali,8072,8105,34,0
rajasthan,phalodi,8072,8105,34,0
rajasthan,pratapgarh,8072,8105,34,0
rajasthan,rajsamand,8072,8105,34,0
rajasthan,salumber,8072,8105,34,0
rajasthan,sawai madhopur,8072,8105,34,0
rajasthan,sikar,8072,8105,34,0
rajasthan,sirohi,8072,8105,34,0
