State,Period ID,Retail Transactions
Meghalaya,8077,167684
Meghalaya,8078,175853
Meghalaya,8079,163554
Meghalaya,8080,189179
Meghalaya,8081,289723
Meghalaya,8082,315322
Meghalaya,8083,321204
Meghalaya,8084,170026
Meghalaya,8085,193215
Meghalaya,8086,261011
Meghalaya,8087,348960
Meghalaya,8088,522433
Meghalaya,8089,740673
Meghalaya,8090,1033414
Meghalaya,8091,1152974
Meghalaya,8092,1323801
Meghalaya,8093,1830555
Meghalaya,8094,2204934
Meghalaya,8095,2726364
Meghalaya,8096,3259975
Meghalaya,8097,5343544
Meghalaya,8098,5773240
Meghalaya,8099,6601880
Meghalaya,8100,7368816
Meghalaya,8101,9006438
Meghalaya,8102,10342245
Meghalaya,8103,9681598
Meghalaya,8104,8839945
Meghalaya,8105,10836114
Mizoram,8072,14367
Mizoram,8073,18364
Mizoram,8074,24604
Mizoram,8075,36184
Mizoram,8076,43515
Mizoram,8077,52540
Mizoram,8078,55585
Mizoram,8079,57139
Mizoram,8080,72242
Mizoram,8081,94994
Mizoram,8082,109236
Mizoram,8083,116071
Mizoram,8084,67889
Mizoram,8085,74439
Mizoram,8086,93972
Mizoram,8087,107464
Mizoram,8088,134652
Mizoram,8089,166864
Mizoram,8090,209057
Mizoram,8091,261186
Mizoram,8092,276865
Mizoram,8093,358005
Mizoram,8094,389679
Mizoram,8095,511251
Mizoram,8096,577796
Mizoram,8097,854085
Mizoram,8098,1032373
Mizoram,8099,1194828
Mizoram,8100,1464155
Mizoram,8101,1693554
Mizoram,8102,2025992
Mizoram,8103,1979390
Mizoram,8104,1959194
Mizoram,8105,2231778
Nagaland,8072,39386
Nagaland,8073,58079
Nagaland,8074,77504
Nagaland,8075,109267
Nagaland,8076,124651
Nagaland,8077,156958
Nagaland,8078,167265
Nagaland,8079,163700
Nagaland,8080,184484
Nagaland,8081,239041
Nagaland,8082,292460
Nagaland,8083,266738
Nagaland,8084,127106
Nagaland,8085,130032
Nagaland,8086,183947
Nagaland,8087,222754
Nagaland,8088,323423
Nagaland,8089,441412
Nagaland,8090,562207
Nagaland,8091,603869
Nagaland,8092,680677
Nagaland,8093,838501
Nagaland,8094,1024556
Nagaland,8095,1196265
Nagaland,8096,1475125
Nagaland,8097,2514000
Nagaland,8098,3141143
Nagaland,8099,3534185
Nagaland,8100,3803438
Nagaland,8101,4724132
Nagaland,8102,5833318
Nagaland,8103,5394902
Nagaland,8104,5145327
Nagaland,8105,6083226
Odisha,8072,4336997
Odisha,8073,4832463
Odisha,8074,6109834
Odisha,8075,9660259
Odisha,8076,10887807
Odisha,8077,13345566
Odisha,8078,21330371
Odisha,8079,19167186
Odisha,8080,21880811
Odisha,8081,18242091
Odisha,8082,25581574
Odisha,8083,36795800
Odisha,8084,39886914
Odisha,8085,39885033
Odisha,8086,65021952
Odisha,8087,89306095
Odisha,8088,119389372
Odisha,8089,150198940
Odisha,8090,183017599
Odisha,8091,208414479
Odisha,8092,237800370
Odisha,8093,275129628
Odisha,8094,331120980
Odisha,8095,394216870
Odisha,8096,472041275
Odisha,8097,533463941
Odisha,8098,583139376
Odisha,8099,653769361
Odisha,8100,672598864
Odisha,8101,746112659
Odisha,8102,785652801
Odisha,8103,841861625
Odisha,8104,889549627
Odisha,8105,932756499
Puducherry,8072,65486
Puducherry,8073,68910
Puducherry,8074,84545
Puducherry,8075,135865
Puducherry,8076,180367
Puducherry,8077,246183
Puducherry,8078,338785
Puducherry,8079,451087
Puducherry,8080,580921
Puducherry,8081,455143
Puducherry,8082,727619
Puducherry,8083,1272494
Puducherry,8084,1443581
Puducherry,8085,1385293
Puducherry,8086,2208281
Puducherry,8087,2550628
Puducherry,8088,3461076
Puducherry,8089,4265431
Puducherry,8090,5157180
Puducherry,8091,5863846
Puducherry,8092,6224977
Puducherry,8093,6931355
Puducherry,8094,7920199
Puducherry,8095,8377582
Puducherry,8096,8706366
Puducherry,8097,9569219
Puducherry,8098,10358162
Puducherry,8099,10781586
Puducherry,8100,11618519
Puducherry,8101,11716317
Puducherry,8102,12400209
Puducherry,8103,12734340
Puducherry,8104,13385336
Puducherry,8105,14273998
Punjab,8072,1378870
Punjab,8073,1731538
Punjab,8074,1933346
Punjab,8075,2824577
Punjab,8076,3247097
Punjab,8077,4325884
Punjab,8078,5622095
Punjab,8079,6254384
Punjab,8080,7210325
Punjab,8081,6014021
Punjab,8082,7823602
Punjab,8083,10297838
Punjab,8084,10008900
Punjab,8085,11144498
Punjab,8086,16218466
Punjab,8087,19076362
Punjab,8088,25097722
Punjab,8089,34194211
Punjab,8090,43028061
Punjab,8091,49331250
Punjab,8092,51451166
Punjab,8093,65508285
Punjab,8094,74686189
Punjab,8095,81488251
Punjab,8096,81707832
Punjab,8097,103791454
Punjab,8098,112671341
Punjab,8099,119043043
Punjab,8100,127552368
Punjab,8101,135349462
Punjab,8102,147253055
Punjab,8103,152709681
Punjab,8104,156323287
Punjab,8105,176968809
Rajasthan,8072,6171468
Rajasthan,8073,7030908
Rajasthan,8074,7654080
Rajasthan,8075,11168140
Rajasthan,8076,16759749
Rajasthan,8077,23387217
Rajasthan,8078,33642559
Rajasthan,8079,33945223
Rajasthan,8080,42140703
Rajasthan,8081,36961229
Rajasthan,8082,57900495
Rajasthan,8083,79104977
Rajasthan,8084,91152365
Rajasthan,8085,90192431
Rajasthan,8086,155512206
Rajasthan,8087,182274484
Rajasthan,8088,249207437
